title_len_words,body_len_words,has_code_snippet,tag_count,user_reputation,account_age_days,post_hour,is_weekend,success_score
10,244,1,2,2123,2655,9,1,73.8
7,165,1,4,1320,3793,6,0,84.1
6,160,1,3,802,3297,1,0,79.8
13,132,1,1,1641,1372,16,1,67.2
9,135,1,4,1302,3040,0,0,79.5
10,124,0,3,165,321,12,1,47.5
6,121,1,2,1784,559,18,0,93.6
5,171,1,5,620,1205,13,0,86.6
7,83,0,3,1317,2666,17,0,72.1
8,75,0,3,1811,2759,19,0,60.4
5,72,0,3,306,1410,13,1,35.6
8,262,0,4,93,1642,14,0,64.4
3,171,0,2,206,3864,13,0,44.6
5,158,1,2,445,3844,23,0,75.0
11,76,1,2,1363,1132,4,0,71.7
10,177,1,4,1577,2579,15,0,100.0
7,133,1,3,5,2458,4,1,60.2
5,152,0,3,571,3368,21,1,48.3
5,81,1,2,432,818,12,0,68.6
7,149,1,3,200,1195,15,1,69.2
10,114,0,4,102,3403,14,1,61.3
11,94,0,3,329,2541,4,0,56.8
7,184,1,4,2290,3267,20,0,80.2
5,47,0,2,312,12,22,0,45.0
9,173,1,4,585,195,5,0,85.2
6,181,1,1,971,2538,12,0,72.6
7,87,1,3,361,2843,15,0,83.4
12,90,1,5,2854,2929,9,0,93.0
11,126,1,5,2625,2230,1,1,92.8
9,156,0,2,232,3010,12,1,41.9
5,130,0,3,550,3889,16,0,65.5
9,166,0,1,286,656,0,1,51.3
12,245,1,4,268,1922,3,1,68.8
7,109,1,3,30,3388,17,0,73.2
13,37,1,3,752,2742,5,0,75.1
12,189,1,2,558,2078,11,0,90.8
13,240,1,4,42,1620,23,0,66.8
9,163,1,3,261,3750,19,0,71.0
10,74,1,2,1911,3868,12,0,63.4
13,132,0,3,219,3865,1,0,57.9
10,72,1,2,125,1120,16,0,71.3
7,178,0,3,537,3453,22,1,49.4
7,58,1,4,3395,778,9,1,74.4
9,121,0,4,221,444,18,1,55.9
5,79,1,3,892,298,21,1,52.5
8,147,1,4,1147,808,4,1,81.5
12,118,1,3,217,1761,20,0,66.1
3,150,0,2,1042,845,11,1,48.9
13,141,1,5,366,1016,17,1,79.4
12,80,1,2,800,1385,8,0,82.4
7,177,0,2,803,1398,10,0,60.4
10,137,1,5,613,554,3,0,78.1
9,80,1,2,75,2351,9,0,68.5
12,274,1,4,1442,421,0,0,84.6
11,168,1,4,309,1270,1,0,85.1
4,130,1,3,165,3792,8,1,62.2
10,224,1,1,33,1261,22,0,65.8
8,250,1,3,715,3606,17,0,83.5
9,131,1,2,905,185,15,0,78.5
6,160,0,3,13,468,22,1,37.4
14,80,1,4,574,2802,13,1,84.1
12,131,1,3,205,2411,3,0,69.8
6,128,1,3,828,1307,1,0,82.4
4,151,1,3,153,1577,11,0,67.1
7,159,1,3,939,336,19,1,86.3
10,173,1,4,391,2210,4,0,75.5
9,154,1,2,2208,3232,3,1,77.5
12,67,0,4,118,1498,14,0,51.8
11,83,1,3,333,3673,2,0,73.0
11,107,1,2,96,3394,21,0,77.7
9,123,1,2,2068,2060,16,1,82.0
4,203,1,3,1678,1448,7,0,83.7
8,70,0,3,238,3145,11,1,38.5
12,118,1,2,863,588,20,1,79.2
8,197,1,4,1359,1882,7,1,77.2
10,122,1,3,648,201,19,0,88.7
8,167,1,4,603,522,19,0,82.9
5,131,1,1,221,1888,4,1,48.1
8,155,1,2,78,2553,20,1,59.9
9,126,1,1,1820,3810,5,0,85.7
7,180,1,2,1845,1712,4,1,80.6
8,47,1,4,802,788,20,0,76.6
6,118,1,1,331,3111,7,0,68.7
12,157,1,3,343,60,21,0,78.5
8,172,1,2,1035,578,17,1,71.4
13,229,0,3,1819,321,3,0,67.1
13,116,1,4,1744,1459,3,0,87.6
8,228,0,3,1210,3708,4,0,64.8
5,100,1,3,821,3748,14,0,80.1
3,219,0,2,70,3480,5,1,37.5
4,189,1,4,141,2038,20,0,56.2
4,85,1,3,1830,923,15,1,70.3
13,158,0,3,745,1410,13,1,57.1
9,136,0,3,7,1695,13,1,39.2
10,177,1,4,85,569,15,1,71.5
3,126,1,3,871,1102,21,0,76.2
5,121,1,3,4,3266,23,0,51.5
11,222,0,3,140,3357,3,0,60.9
9,134,1,2,636,527,10,0,75.0
8,189,1,3,941,2572,18,0,83.0
10,126,1,3,844,2661,18,0,85.2
13,239,0,3,203,3228,7,1,49.7
8,99,1,3,996,3412,9,0,82.2
9,103,1,2,216,2173,4,0,70.3
9,231,0,4,314,871,15,0,72.1
16,113,1,4,1097,280,2,0,82.2
3,236,0,4,839,2965,9,0,63.5
11,193,1,2,1513,3978,23,1,68.4
8,130,1,3,857,2670,12,0,84.6
10,31,1,4,672,2894,6,0,83.1
7,138,1,3,78,1893,11,0,75.9
8,146,1,3,366,3730,22,0,74.6
11,210,1,4,246,1752,13,0,81.9
18,235,1,3,223,3982,9,0,59.1
11,98,1,3,2889,674,8,0,92.9
6,188,1,1,399,1152,11,0,66.3
7,185,1,1,1780,2362,23,0,75.5
7,204,1,1,797,332,2,0,77.1
3,169,1,4,1267,1174,12,1,71.7
8,23,1,3,558,2040,5,0,72.9
11,130,0,3,688,1478,5,0,59.1
5,70,1,4,542,36,20,0,59.8
12,127,1,3,173,1709,18,0,79.9
10,198,1,3,1025,1444,6,0,77.4
6,158,1,2,263,3094,3,0,75.1
8,208,1,4,19,2254,21,0,62.8
13,160,1,2,829,2687,4,0,76.9
11,62,1,1,155,2896,0,0,67.5
9,20,1,2,2256,1380,17,0,80.2
8,148,1,2,2462,440,16,1,76.5
9,127,1,2,1970,2777,8,0,84.0
7,81,1,3,369,1120,8,0,76.5
3,37,1,2,12,2989,20,0,39.0
15,95,0,3,2108,164,23,0,59.2
9,128,0,1,447,148,9,1,52.9
10,179,0,2,2720,3602,19,0,73.0
8,151,0,3,2650,2342,16,1,65.2
6,236,1,4,1533,195,12,0,80.7
8,77,0,4,279,663,3,0,56.8
4,192,1,5,389,480,22,0,78.2
15,142,1,3,1523,3949,17,1,65.4
5,181,0,3,304,123,17,0,47.9
5,113,1,3,148,1424,21,0,73.0
7,204,0,3,650,2747,8,0,63.4
12,157,1,2,2201,965,2,0,75.1
9,99,0,3,952,3524,6,1,62.2
5,139,1,3,675,2709,14,0,83.0
12,125,1,3,81,3176,8,0,66.9
11,169,1,3,763,1779,8,0,75.9
10,69,0,2,3688,1486,3,0,58.8
11,138,1,3,120,3815,17,0,78.0
16,163,1,1,584,2015,16,0,69.1
15,141,1,5,1678,3790,21,0,77.1
6,220,1,2,1080,710,20,0,77.1
13,186,1,2,955,2444,5,1,69.2
10,139,1,4,969,912,6,0,77.3
10,153,0,3,356,1361,9,0,64.0
3,157,1,2,278,3053,9,0,59.4
8,164,1,3,1325,3671,5,0,89.5
6,30,1,2,1329,3214,5,0,72.5
11,121,1,2,1614,2365,18,1,75.4
12,50,1,1,1955,1735,7,0,72.2
3,216,0,3,572,3630,8,0,52.5
8,136,1,4,556,1824,0,0,88.9
12,128,1,3,1280,3599,15,0,98.4
8,193,1,3,839,1580,5,0,82.9
11,165,1,2,968,3473,22,1,70.4
10,72,1,2,1270,681,7,1,72.6
10,135,1,4,1765,1334,14,0,91.4
8,119,0,1,329,2543,11,0,49.7
5,35,1,4,376,556,9,0,70.6
5,98,1,3,78,610,15,0,71.5
11,128,1,4,690,3845,14,0,85.7
9,133,1,2,29,2157,10,0,64.3
8,51,0,2,501,3867,23,1,40.7
7,209,1,4,625,372,6,0,85.8
8,133,0,4,270,2903,7,0,63.5
12,142,1,2,714,616,10,0,70.6
7,164,1,5,24,2816,8,0,71.7
4,92,1,1,30,1915,6,0,44.2
11,167,1,1,1383,2254,14,0,74.6
8,117,1,3,357,847,14,0,79.6
9,86,1,3,108,43,15,1,66.7
13,174,1,5,590,865,2,0,77.2
8,229,1,3,1175,1269,15,0,81.5
9,183,1,1,194,3359,14,1,58.2
5,195,1,3,780,1379,0,0,68.9
8,108,0,2,71,785,13,0,56.3
10,44,1,3,42,476,23,0,66.9
4,229,1,3,606,83,21,0,76.7
9,263,1,1,622,1134,10,0,75.3
9,232,1,3,811,2238,2,1,75.6
9,119,1,3,1035,800,8,0,81.3
12,70,1,3,2978,936,5,1,71.1
10,76,1,3,581,3981,22,0,78.2
13,38,1,2,312,2299,15,1,66.4
6,133,1,2,1268,3796,10,0,80.6
9,236,1,2,252,2339,17,0,68.5
9,131,0,2,462,1669,16,1,58.7
5,158,1,3,65,3273,16,1,63.2
11,222,1,5,20,3869,2,1,60.6
15,115,1,3,2629,326,18,0,84.2
8,262,0,3,1446,1535,23,0,64.7
10,259,1,3,952,3481,22,1,71.8
9,132,1,2,420,3679,14,1,74.6
6,105,0,4,152,3862,9,0,53.0
3,181,1,5,136,1986,7,0,81.3
6,119,1,3,230,1965,16,0,82.7
4,70,1,2,637,837,3,0,59.9
14,216,0,4,1003,508,7,1,64.7
8,212,0,2,863,2779,1,0,63.7
7,149,1,4,262,3673,22,0,75.2
11,64,1,4,2478,2120,7,1,71.4
5,66,1,2,1071,1271,6,0,51.4
6,146,1,5,646,641,8,1,73.8
9,110,1,5,756,3796,17,1,88.2
12,119,1,4,435,2988,16,1,80.1
10,201,0,3,227,1879,0,0,54.6
9,183,0,2,352,608,11,0,57.5
9,222,1,3,1134,3659,3,0,79.6
10,80,1,3,11,1959,16,0,59.5
9,119,1,2,98,566,6,0,63.3
5,185,1,3,37,1368,23,0,70.4
9,166,1,3,33,3997,2,0,65.7
5,231,1,1,1547,2102,0,0,68.8
9,165,1,2,972,1754,18,1,79.0
7,250,1,1,514,2576,1,1,70.2
16,172,0,3,82,2659,5,0,43.4
8,203,1,3,541,3604,10,1,77.5
4,120,1,1,513,1582,22,0,63.2
8,140,0,5,152,1987,20,1,54.6
10,194,1,1,455,2241,3,0,69.3
14,236,1,3,406,3967,0,0,81.5
7,183,1,4,765,2106,10,0,76.8
4,135,0,4,806,3509,15,0,64.1
11,222,1,1,37,3183,5,0,63.5
4,20,1,4,375,129,10,0,69.6
7,54,1,4,786,1873,7,0,78.5
8,180,1,3,559,706,19,0,79.5
8,140,1,3,1553,3997,0,0,86.6
11,176,1,1,859,852,13,0,83.3
6,143,0,3,142,3398,20,0,58.2
8,174,0,3,58,8,20,0,49.8
8,91,1,4,822,2077,1,1,76.2
9,174,1,3,21,1136,5,0,69.5
9,199,1,3,705,2995,8,1,73.1
10,213,0,2,2253,3745,13,0,64.4
11,260,1,2,685,2179,21,1,67.7
10,154,1,2,393,2236,7,0,81.8
10,156,0,1,824,1699,2,0,49.7
4,48,0,3,490,2757,9,0,51.0
9,108,1,4,631,1499,17,0,87.9
10,128,0,3,2270,3436,19,0,65.7
11,203,0,3,390,3276,8,1,56.4
6,103,1,3,2599,2260,8,1,75.4
7,187,1,2,1886,1645,18,0,86.8
7,139,0,3,174,276,12,1,39.7
10,129,1,2,57,3145,0,1,65.4
12,154,1,3,84,1703,16,0,74.1
7,116,1,2,14,1796,3,1,49.5
11,114,0,1,79,243,3,0,46.9
9,37,0,3,919,3859,15,0,64.7
8,125,1,4,59,3174,15,0,76.3
8,111,0,3,307,3035,14,1,60.7
11,109,0,4,1490,2733,5,0,68.6
9,165,0,3,18,171,4,0,46.3
15,179,1,3,1347,653,21,0,71.0
6,153,1,3,264,1933,9,0,81.0
10,199,1,4,100,2236,6,0,77.9
7,174,1,2,954,3513,6,0,81.0
6,122,1,2,793,1110,9,0,82.8
8,112,0,2,1679,1500,9,0,57.6
9,158,1,3,1062,2100,14,0,87.3
17,174,0,4,1301,2159,5,1,58.6
8,223,1,2,265,1973,23,1,65.4
5,211,1,3,156,2925,1,0,66.1
9,107,1,4,1111,3926,7,0,86.0
3,133,1,3,1315,1067,19,1,75.3
8,180,1,3,3725,2259,14,0,83.0
9,204,0,4,425,2036,20,1,56.6
11,196,1,3,372,3272,20,0,79.2
11,136,1,3,1198,3882,17,0,89.5
7,64,1,1,333,858,4,0,70.4
8,80,1,2,2136,3824,3,0,79.0
6,156,1,3,1563,2675,9,0,91.9
5,160,1,3,448,1050,18,0,73.3
9,74,1,5,1111,3991,13,1,71.8
5,142,0,5,1123,299,22,0,70.1
7,177,1,4,87,3149,23,0,79.2
6,70,0,2,1862,924,12,0,56.0
10,206,1,5,562,137,9,0,82.6
14,117,0,3,1401,1044,21,0,64.2
5,215,1,3,308,2488,5,0,69.7
3,107,1,3,1807,211,12,0,83.3
8,78,1,1,394,2800,20,0,56.5
9,112,0,2,8,1575,10,0,38.2
9,134,1,4,1886,2483,21,1,79.4
7,116,1,3,76,780,14,1,65.7
8,127,1,3,307,1231,1,1,66.1
10,160,1,3,2397,2487,14,1,91.7
12,129,1,4,2406,1803,18,0,89.8
3,136,1,3,681,2714,16,1,70.6
7,37,1,3,799,1066,19,0,71.8
9,163,1,2,476,411,17,0,84.5
6,134,1,2,277,3595,5,0,70.3
14,236,1,5,318,2854,14,1,69.9
7,83,1,3,893,2658,16,0,91.0
8,31,0,3,1116,427,23,0,53.4
10,177,1,3,1254,3347,21,1,82.3
7,160,0,4,1247,1472,8,0,73.3
3,79,1,3,76,2950,11,0,53.6
7,48,0,3,545,942,21,0,54.9
12,232,1,3,47,1908,22,1,61.5
7,224,1,1,637,742,4,1,59.3
6,20,1,4,466,1393,13,1,78.6
11,112,0,4,1749,1244,23,0,68.1
8,239,1,4,345,1601,7,0,80.2
7,111,1,4,99,3939,21,0,74.7
9,110,1,4,123,1256,16,0,79.4
11,123,1,3,1146,328,8,0,85.5
16,72,1,4,770,1467,2,0,67.2
11,37,1,3,85,2100,6,1,53.1
12,203,1,2,70,3958,11,1,57.5
7,29,1,3,965,1967,2,0,81.8
5,154,0,5,60,376,8,0,49.8
9,193,1,3,1380,263,13,0,96.3
9,52,1,4,979,267,22,0,72.0
5,84,0,1,67,2407,22,0,34.0
8,212,1,2,70,3389,22,0,64.2
10,171,1,3,3452,3396,17,1,84.9
10,102,0,1,375,1945,10,0,49.3
10,212,1,2,370,3980,3,0,73.4
9,212,1,2,1340,3738,7,1,73.8
7,156,0,4,2353,1894,17,1,73.8
7,85,0,1,3415,1902,12,0,56.1
5,115,1,2,1119,2700,3,1,68.6
14,157,1,1,377,3635,9,0,74.6
9,128,1,3,69,1653,7,1,57.8
8,196,1,3,1200,1445,11,0,78.6
6,48,1,3,653,46,18,0,78.6
17,50,1,3,441,3893,11,1,51.9
5,150,0,2,1894,600,21,0,62.2
7,110,0,3,94,720,1,0,53.1
10,102,1,4,542,1913,23,1,69.1
10,33,1,2,9,1293,7,0,44.2
11,141,1,3,505,601,12,0,71.2
14,136,1,2,46,381,0,1,57.2
10,179,1,2,101,118,2,1,60.9
5,144,0,3,100,3638,1,1,40.9
8,132,1,3,838,2164,22,1,80.2
9,210,0,2,1096,3702,22,1,54.0
15,61,1,2,700,260,19,1,65.2
4,172,1,5,2619,1099,7,0,80.8
12,39,1,4,375,1504,2,0,65.1
9,89,1,4,269,2353,20,0,83.0
11,67,0,3,1623,2055,14,0,66.5
8,186,1,3,202,366,1,0,75.8
6,136,1,3,2642,1658,16,1,87.5
11,139,1,1,9,2571,23,0,43.0
10,73,1,3,2802,3420,5,1,69.0
11,122,0,3,35,1462,0,0,54.3
8,94,0,2,1774,2025,3,0,61.8
7,163,1,4,600,3287,18,0,90.8
4,80,1,2,3965,2477,6,1,82.7
11,219,1,3,61,791,22,0,74.3
10,39,1,2,645,3570,21,0,66.7
6,91,1,3,2786,3612,13,0,82.5
7,240,1,1,592,747,13,0,81.5
7,113,0,2,794,2415,9,0,49.3
4,61,1,3,951,313,23,0,61.5
6,153,1,3,484,538,6,1,67.7
5,111,0,3,790,921,15,0,59.0
7,89,1,2,702,1078,3,0,78.3
6,74,1,3,1851,3613,6,1,65.1
4,306,1,3,37,1491,14,1,54.2
15,124,1,2,263,2913,16,1,69.6
12,24,1,4,2403,3236,2,0,79.6
6,229,1,3,1767,2830,15,1,87.6
9,176,1,2,486,2382,1,0,71.8
10,94,1,4,774,3619,6,0,78.6
12,84,0,4,259,798,15,0,71.2
6,180,1,5,166,348,20,0,81.4
12,125,0,3,498,273,8,0,62.5
7,24,1,3,348,3011,11,1,71.2
4,247,1,2,700,720,23,1,65.2
11,113,1,3,64,1774,0,1,74.4
12,229,1,5,2931,3486,13,0,98.4
16,216,1,3,3427,2548,10,1,79.8
5,79,0,4,958,3165,17,0,55.4
11,201,1,2,614,685,21,0,70.5
7,100,1,3,296,2127,4,0,80.4
11,27,1,4,1344,622,14,1,76.0
4,114,0,4,923,2040,6,0,68.9
5,163,1,5,141,3289,13,0,79.1
6,112,0,4,1934,947,19,0,79.6
9,121,0,3,1383,2406,7,1,50.3
7,208,1,3,2393,2666,3,1,82.2
10,146,1,4,1034,507,2,0,84.7
12,89,0,3,760,1583,11,0,58.6
10,182,1,2,433,3253,17,0,86.8
13,151,1,3,2159,2624,23,0,78.7
10,20,0,3,1608,3318,14,0,64.6
5,165,0,1,37,244,10,0,31.5
13,163,0,3,21,506,23,1,40.9
7,141,1,2,377,422,10,0,72.7
11,193,1,3,1330,3392,11,0,82.1
13,99,1,4,3491,3159,18,1,88.8
10,160,1,3,130,2265,16,0,72.7
4,45,1,4,721,3562,5,1,65.6
6,164,1,2,383,3591,20,0,77.5
12,257,1,5,2802,3350,7,0,87.8
8,80,0,2,1476,1873,14,0,74.3
9,94,0,1,1457,3794,21,0,62.8
11,97,0,4,505,3057,19,1,62.3
11,147,1,4,428,1193,9,0,74.0
9,76,1,2,255,330,14,1,59.1
8,165,0,5,46,650,11,1,39.9
8,190,1,3,1600,1465,10,0,84.7
11,172,1,5,1340,391,17,1,91.6
10,33,1,3,6537,1520,23,0,78.5
8,199,1,3,4555,381,4,0,88.5
12,196,1,3,648,3378,11,1,77.7
8,189,0,2,1172,742,23,0,58.1
6,162,0,3,2316,2011,4,1,63.3
6,153,1,3,1515,820,21,1,87.1
6,201,1,1,227,673,9,1,65.3
8,255,0,2,479,2561,13,1,50.0
12,82,1,2,110,1772,15,0,73.5
6,204,1,4,2464,2997,4,0,92.6
9,134,0,3,745,1212,10,0,64.9
7,132,0,4,207,930,18,1,52.5
8,47,0,5,891,1540,7,0,63.8
4,122,1,3,770,913,18,1,69.5
8,80,1,5,354,644,19,1,79.1
8,112,0,2,96,427,21,0,52.8
10,74,1,2,890,502,17,0,83.8
9,113,0,3,587,730,22,0,57.6
5,115,1,3,1183,1284,20,1,69.7
12,145,0,4,587,3585,11,1,57.1
9,43,1,3,1529,2119,12,0,78.6
9,53,1,2,642,2526,20,1,62.0
8,161,1,3,658,3250,20,0,76.9
7,92,1,3,1674,457,17,0,85.9
9,204,1,2,413,2237,14,0,81.8
10,153,1,3,115,291,14,0,77.6
3,176,0,4,23,3592,11,0,45.2
7,224,1,4,1125,3837,8,1,70.4
8,121,1,3,774,920,18,1,84.0
9,105,1,3,974,2340,11,0,88.6
12,192,0,1,191,1970,22,1,43.6
6,170,1,3,117,756,4,0,75.4
7,128,1,4,11,1659,20,1,62.9
7,223,0,3,345,1835,19,0,63.0
6,127,1,2,713,1307,9,0,78.1
7,141,1,4,398,1568,21,0,83.2
11,141,1,4,460,1870,6,1,71.8
5,83,0,3,1876,377,22,0,59.2
10,144,1,2,342,3730,10,0,63.6
3,223,0,2,577,1180,7,0,46.9
7,166,0,2,1224,508,20,0,68.7
8,141,1,3,404,1437,6,0,79.5
14,130,0,2,778,2576,15,0,60.4
8,159,1,4,1586,3427,15,0,85.8
3,184,1,5,2388,559,13,0,100.0
3,176,1,3,127,3835,14,0,65.9
9,120,0,3,2089,3259,19,0,69.5
10,159,1,3,542,3103,8,0,81.9
10,168,1,4,238,2308,15,0,79.3
9,79,1,4,491,421,15,0,80.6
12,150,1,1,3130,1553,4,0,80.6
7,20,1,2,542,3623,2,0,61.9
11,168,1,4,318,304,20,0,80.0
4,179,1,3,802,942,12,0,74.3
6,184,1,2,219,3111,7,0,66.4
3,116,1,3,63,3561,16,0,68.9
8,158,1,4,110,3716,4,0,78.5
8,225,0,2,109,2590,5,0,45.4
9,224,0,4,131,3742,1,0,60.2
9,138,1,1,119,1302,21,0,66.9
6,148,1,4,819,3275,13,0,87.3
8,206,0,3,160,1090,3,1,47.2
4,49,1,2,339,2156,2,0,59.6
13,120,1,3,1816,2316,8,0,81.4
8,220,1,4,513,2270,17,0,89.8
7,198,1,4,881,1828,11,0,80.3
13,162,1,3,151,1554,8,0,69.6
5,49,1,3,170,3162,17,0,56.3
5,137,0,3,33,693,12,1,24.9
5,104,1,3,148,255,13,1,63.9
8,159,1,4,261,1479,9,0,69.1
10,91,0,1,155,2301,2,0,50.6
11,78,0,2,74,257,6,0,40.4
16,20,0,3,102,2431,17,0,51.9
3,213,0,2,494,442,15,0,57.4
10,116,1,4,184,1882,16,0,84.8
7,149,0,3,362,2647,5,0,55.8
7,139,0,3,560,1114,11,0,58.3
7,75,1,4,937,3821,18,0,79.5
6,64,1,3,32,2438,2,0,58.2
14,79,1,3,1285,582,2,1,64.9
11,96,0,1,790,3116,17,1,57.1
9,161,1,3,68,1736,10,1,60.7
13,92,1,2,1654,3736,5,0,86.3
4,244,1,3,2029,2646,18,0,77.8
5,201,1,3,50,19,4,0,64.0
3,188,1,2,259,1125,12,0,74.1
6,132,1,3,1312,3986,4,0,91.8
9,230,0,2,1103,2655,2,0,56.6
9,126,1,4,163,3838,18,0,87.5
9,138,1,1,187,1381,16,0,61.7
4,150,1,4,370,1566,21,0,64.6
11,182,1,3,530,3833,2,0,81.8
9,178,1,3,770,2081,14,0,87.7
11,111,1,2,368,1994,16,0,82.0
3,108,1,5,496,3301,12,0,74.5
9,178,1,2,1100,1548,13,0,78.3
5,182,1,3,29,3702,15,0,53.9
7,116,1,5,232,862,10,1,70.2
10,44,1,4,999,155,16,0,85.1
9,127,1,3,1804,3495,4,0,88.6
6,177,1,5,573,905,20,0,87.1
9,248,0,3,607,1270,14,1,60.4
4,68,0,2,90,405,17,0,47.2
12,114,1,3,474,844,15,0,90.4
8,116,1,2,608,1783,13,0,86.0
12,221,1,2,222,1565,13,1,75.5
7,137,1,4,250,1185,12,0,80.4
7,85,0,3,378,747,0,0,61.7
6,173,0,1,16,1726,5,0,35.1
11,115,0,4,310,3189,22,0,63.5
6,66,0,2,190,271,10,0,41.8
10,86,0,5,317,770,10,0,71.1
7,244,1,5,102,1716,15,1,79.0
3,163,1,4,1769,1511,23,0,77.3
7,146,0,4,720,3957,2,0,68.9
5,125,1,2,909,172,16,0,80.7
9,157,1,3,1245,274,21,0,78.3
5,156,1,2,552,2307,13,0,71.5
11,157,0,2,72,1159,1,0,43.8
8,146,1,3,616,1707,8,0,79.3
8,192,1,1,707,3794,7,0,80.4
10,141,0,5,1094,1772,10,1,63.5
11,81,1,4,452,422,6,1,77.2
8,103,0,3,109,1445,21,0,51.0
6,21,1,3,267,1210,1,0,72.0
3,261,1,3,360,2412,3,1,61.8
6,191,0,4,830,3679,22,0,69.9
7,90,1,3,676,2426,13,0,89.3
9,123,1,2,352,3595,12,0,68.5
